article,sentence,label
A useroriented web crawler for selectively.txt,Availability and implementation: The implementation of our user-oriented web crawler is freely available to non-commercial users via the following Web site: http://bsec.ornl.gov/AdaptiveCrawler.shtml,1
A useroriented web crawler for selectively.txt,"Although an extensive collection of automatic or largely automatic text mining algorithms and tools exists for analyzing social media content, limited efforts have been dedicated to developing automatic or largely automatic content acquisition tools and methods for obtaining online patient-generated content meeting certain e-health research needs and requirements",1
A variable selection method for genomewide.txt,"A valid algorithm to implement concave penalty functions is local linear approximation (), which amounts to multiple rounds of CCD and would make the HLASSO computation prohibitively expensive",1
A variable selection method for genomewide.txt,"For the WTCCC T1D data, running the CCD version of the HLASSO with 10 iterations on an Intel Quadcore Nehalem processor (2.4 GHz, 16 GB memory) requires 67.5 to 175 h, depending on the value of the tuning parameter",1
A varying threshold method for ChIP.txt,"Their method is a post-processing algorithm that takes the P-values from existing peak calling algorithms as input, but cannot incorporate general types of data",1
A visual framework for sequence analysis.txt,"Availability: A software implementation (MOSAIC) of the framework described here can be downloaded from",1
A visual framework for sequence analysis.txt,"We provide the software application mosaic, an implementation of this framework, that allows to interactively navigate and study sequence relationships",1
A waveletbased method to exploit epigenomic.txt,"Availability and implementation: The source code and supplemental document of AWNFR are available at http://wonk.med.upenn.edu/AWNFR.",1
A web application for sample size.txt,"Availability and implementation: The web interface is written in R code using Shiny (RStudio Inc., 2016) and it is available at https://fedematt.shinyapps.io/shinyMB",1
A web application for sample size.txt,"The R code for the recoded generalized Wald test can be found at https://github.com/mafed/msWaldHMP.",1
A web application for the unspecific.txt,"In order to identify these regions several algorithms have been developed over the years, along with some bioinformatic platforms that enable their use",1
A web application for the unspecific.txt,"Availability and implementation: The web application is freely accessible at",1
A web application for the unspecific.txt,"For this detection, we have developed a version of the geometric moving average algorithm, which corresponds to the class of methods of stationary random processes and constitutes one of the several methods developed for the detection of abrupt changes in a signal ()",1
A web application for the unspecific.txt,This algorithm scans the signal based in scalable and sliding windows and searches for over-or under-expressed regions of a minimum size of nucleotides flanked by neutral regions (see supplementary materia for detailed description),1
A weighted sampling algorithm for the.txt,The development of efficient algorithms for designing RNA sequences with predefined secondary structures is thus a milestone to enter the synthetic biology era,1
A wide repertoire of miRNA binding.txt,"All these additional types of sites were far less studied; non-evolutionarily conserved targets can be predicted by several algorithms (), the 3 compensatory targets are predicted by only few () and no target prediction algorithm to date predicts centered sites (see Supplementary Material S1 and Supplementary)",1
A zeroinflated Poisson model for insertion.txt,"Availability and implementation: We provide R code for implementing our proposed method at",1
A5miseq an updated pipeline to assemble.txt,"Source code and precompiled binaries for Mac OS X 10.6+ and Linux 2.6.15+ are available from http://sourceforge.net/projects/ngopt",1
ABACUS an entropybased cumulative bivariate statistic.txt,"Availability and implementation: ABACUS is available at",1
ABAEnrichment an R package to test.txt,"We present ABAEnrichment, an R package that tests for expression enrichment in specific brain regions at different developmental stages using expression information gathered from multiple regions of the adult and developing human brain, together with ontologically organized structural information about the brain, both provided by the Allen Brain Atlas",1
ABAEnrichment an R package to test.txt,"Availability and Implementation: ABAEnrichment was implemented as an R package and is available under GPL (2) from the Bioconductor website",1
ABC a tool to identify SNVs.txt,Availability and implementation: The code is open-source under an Artistic-2.0 license and ver-sioned on GitHub (https://github.com/mlupien/ABC/),1
ABC a tool to identify SNVs.txt,"ABC is written in PERL and can be run on any platform with both PERL",1
AbCD arbitrary coverage design for sequencingbased.txt,"In addition, we also present two software tools: ShotGun and DesignPlanner, which were used to generate the estimates behind AbCD",1
AbCD arbitrary coverage design for sequencingbased.txt,"Availability and implementation: AbCD, including its downloadable terminal interface and web-based interface, and the associated tools ShotGun and DesignPlanner, including documentation, examples and executables, are available at",1
AbCD arbitrary coverage design for sequencingbased.txt,"However, there are no resources or software tools that directly evaluate the statistical power of an arbitrary coverage sequencing-based design to quantitatively guide the design decisions",1
AbCD arbitrary coverage design for sequencingbased.txt,"In addition, we present ShotGun and DesignPlanner, two software tools that generate the effective sample size estimates behind AbCD",1
ABCSysBioapproximate Bayesian computation in Python with.txt,"Results: Here we present a Python package, ABC-SysBio, that implements parameter inference and model selection for dynamical systems in an approximate Bayesian computation (ABC) framework",1
ABCSysBioapproximate Bayesian computation in Python with.txt,"Here we present an extensible Python package, ABC-SysBio, which implements approximate Bayesian computation for parameter inference and model selection in deterministic and stochastic models",1
ABCSysBioapproximate Bayesian computation in Python with.txt,"The package supports the standard models exchange format, SBML, as well as user-defined models written in Python",1
ABIF Manager simple reading and editing.txt,"Availability and implementation: The program source code and compiled executable is freely available at: https://sourceforge.net/projects/abifmanager/ Contact: pavel.beran@centrum.cz",1
ABMapper a suffix arraybased tool for.txt,"Here, we describe a new software package: ABMapper, which is specifically designed for exploring all putative locations of reads that are mapped to splice junctions or repetitive in nature",1
ABMapper a suffix arraybased tool for.txt,Availability and Implementation: The software is freely available at: http://abmapper.sourceforge.net/,1
ABMapper a suffix arraybased tool for.txt,The software is written in C++ and PERL,1
ABMapper a suffix arraybased tool for.txt,"It runs on all major platforms and operating systems including Windows, Mac OS X and LINUX.",1
ABMapper a suffix arraybased tool for.txt,"have developed shortread alignment tools based on the BurrowWheeler transformation algorithm (), which runs fast and with low memory requirement ()",1
ABMapper a suffix arraybased tool for.txt,"SplitSeek (), TopHat () and SpliceMap () are three widely known software packages written to make up for the lack of ability of these short-read aligners for splice site identification",1
ABRA improved coding indel detection via.txt,"Our newly developed tool called ABRA accepts a Sequence Alignment/Map (SAM/BAM) file as input and produces a realigned BAM file as output, allowing flexibility in selection of variant calling algorithms and other downstream analysis",1
AbsCNseq a statistical method to estimate.txt,"As deep sequencing of the exome or genome has become routine for characterization of tumor samples, in this work, we aim to develop a simple and robust algorithm to infer purity, ploidy and absolute copy numbers in whole numbers for tumor cells from sequencing data",1
AbsCNseq a statistical method to estimate.txt,"Availability and implementation: The R package absCNseq is available from",1
AbsCNseq a statistical method to estimate.txt,"As more cancer samples are sequenced using NGS technology and as whole-exome sequencing (WES) becomes a routine platform for characterization of tumor samples, there is an urgent need to develop a similar tool for NGS.developed a method to estimate tumor purity from the deep whole-genome sequencing data; however, their method does not offer the estimation of ploidy and absolute copy numbers, and has not been shown to work equally well on WES data",1
AbsCNseq a statistical method to estimate.txt,"We implemented the algorithm in an R package called absCNseq that is freely available from our Web site (http://biostats.mcc.ucsd.edu/files/absCNseq_1.0.tar.gz).",1
Accelerated protein structure comparison using TMscoreGPU.txt,"TM-score-GPU is 68 times faster on an ATI 5870 GPU, on average, than the original CPU single-threaded implementation on an AMD Phenom II 810 quad-core processor",1
Accelerated protein structure comparison using TMscoreGPU.txt,"Availability and implementation: The complete source, including the GPU code and the hybrid RMSD subroutine, can be downloaded and used without restriction at",1
Accelerated protein structure comparison using TMscoreGPU.txt,"TM-score () uses a variant of the LevittGerstein (LG) metric () that provides a length independent measure and limits the impact of divergent pairs of atoms in superimposed structures, an implementation of TM-score using qcprot () (red) and the CPU and GPU versions of our implementation (green and yellow)",1
Accelerated protein structure comparison using TMscoreGPU.txt,"When comparing single-threaded CPU implementations, our hybrid RMSD algorithm gives rise to a 45  0.4% speedup over the original code and 58  1% speedup over an implementation using qcprot rotations in the Kabsch method and avoids the iterative methods used to solve for the eigenvalues of the S matrix used in quaternion methods",1
Accelerated protein structure comparison using TMscoreGPU.txt,"The resulting algorithm has a non-divergent code path, has no iteration and is significantly faster",1
Accelerated similarity searching and clustering of.txt,Availability: Software implementations and online services have been developed based on the methods introduced in this study,1
Accelerating reactiondiffusion simulations with generalpurpose graphics.txt,"Availability: The software is freely available at https://github.com/PRIDE",1
Accelerating reactiondiffusion simulations with generalpurpose graphics.txt,"Two prominent examples of the latter type of hybrid algorithms are the Gillespie Multiparticle Method (GMP), first presented by, and the Multinomial Simulation Algorithm (MSA) ()",1
Accelerating reactiondiffusion simulations with generalpurpose graphics.txt,"However, the free availability of the source code made GMP our first choice",1
Accelerating reactiondiffusion simulations with generalpurpose graphics.txt,We report performance gains of two orders of magnitude compared with standard implementations of the (exact) inhomogeneous stochastic simulation algorithm and the (hybrid) serial implementation of GMP,1
Accelerating reactiondiffusion simulations with generalpurpose graphics.txt,"In addition, we provide a full implementation of the algorithm on our website",1
Accelerating reactiondiffusion simulations with generalpurpose graphics.txt,The full source code is included so the user can easily add the relevant GPU implementation into their own projects,1
Acceleration of short and long DNA.txt,"Availability and implementation: https://github.com/opencb/hpg-aligner.",1
Acceleration of short and long DNA.txt,"And, moreover, given the way in which available mappers implement current state-of-the-art mapping algorithms, such as Burroughs-Wheeler Transform, accuracy usually falls down as read length increases because of the accumulation of errors",1
AccessFold predicting RNARNA interactions with consideration.txt,"Availability and implementation: Pseudo-energy minimization is available for download as AccessFold, under an open-source license and as part of the RNAstructure package, at: http://",1
AccessFold predicting RNARNA interactions with consideration.txt,"To get around these challenges, there has been a focus on the development of algorithms that predict only specific types of RNA RNA interactions",1
AccessFold predicting RNARNA interactions with consideration.txt,It is necessary to develop a generalized algorithm for the reliable prediction of intermolecular binding sites of unknown structure class,1
AccessFold predicting RNARNA interactions with consideration.txt,"A set of 17 systems with known bimolecular structures was assembled for benchmarking, and the performance of pseudo-energy minimization was compared to multiple variations of free energy minimization, partition function calculation and combination algorithms designed to predict RNARNA interactions: BiFold, DuplexFold, Bipartition and MaxExpect from RNAstructure (); RNAplex and RNAup from the Vienna package () and BINDIGO from the Aalberts lab ()",1
AccessFold predicting RNARNA interactions with consideration.txt,DiscussionA major barrier to the development of general algorithms addressing the RNARNA interaction prediction problem is a limited number of experimentally determined bimolecular structures,1
AccessFold predicting RNARNA interactions with consideration.txt,"Although algorithms addressing specific biological problems have been successful, particularly in predicting miRNA binding sites, it is necessary to develop a general algorithm for newly discovered ncRNAs",1
Accessibility of microRNA binding sites in.txt,Availability and implementation: At http://kks.inf.kcl.ac.uk/MSbind,1
Accessibility of microRNA binding sites in.txt,"In a similar way, the tool miRror designed bycombines scores produced by an ensemble of established miRNA target prediction tools with rankings obtained from gene expression and HITS-CLIP data.consider the problem of selecting an antisense sequence that is able to effectively bind to a target mRNA and block protein synthesis",1
Accounting for pairwise distance restraints in.txt,"Availability and Implementation: The software is freely available as part of the ClusPro web-based server at http://cluspro.org/",1
Accurate cell segmentation in microscopy images.txt,"Availability and implementation: Matlab code and examples are available at http://www.infobiotics.org/infobiotics",1
Accurate cell segmentation in microscopy images.txt,"Although there is a rapid development of imaging hardware and image analysis software platforms (), the development of cell segmentation algorithms is lagging behind",1
Accurate computational prediction of the transcribed.txt,"Availability and implementation: The Perl source code is freely available from http://bioanalysis.otago.ac.nz/CRISPRDirection.",1
Accurate computational prediction of the transcribed.txt,The algorithm is described and available as a Perl module for a gene prediction and annotation pipeline,1
Accurate estimation of haplotype frequency from.txt,"Availability and implementation: Ehapp (in Perl) for the Linux platforms is available online",1
Accurate estimation of haplotype frequency from.txt,"We have implemented the method in an open-source software tool Ehapp (estimate haplotype frequency from pooled sequencing data, http://bioinfo.seu.edu.cn/Ehapp/).",1
Accurate estimation of heritability in genome.txt,"Towards this end, we develop an expectation-maximization (EM) algorithm for this problem",1
Accurate estimation of isoelectric point of.txt,"The machine-learning algorithms, especially the SVM-based algorithm, showed a superior performance when studying peptide mixtures",1
Accurate estimation of isoelectric point of.txt,These results also highlight the need for a complete and customizable tool that can provide all available algorithms and pK a sets for isoelectric point analysis,1
Accurate estimation of isoelectric point of.txt,"The machine-learning algorithms, especially the SVM-based algorithm, showed a superior performance when studying peptide mixtures",1
Accurate estimation of isoelectric point of.txt,"In the near future, new algorithms and bioinformatics tools should be able to provide a way of choosing different pK a sets and thus obtain more accurate prediction for a given analytical setting",1
Accurate estimation of isoelectric point of.txt,"We envisage that more algorithms based on machine learning, including new additional features, should be explored allowing the development of fast, accurate and reliable pI calculation algorithms for use in future protein and peptide proteomic analysis.* Defined by the difference between the maximal and minimal pI experimental value found for the protein in PIP-DB.",1
Accurate estimation of short read mapping.txt,Motivation: Several software tools specialize in the alignment of short next-generation sequencing reads to a reference sequence,1
Accurate estimation of short read mapping.txt,"Approach: We develop a machine learning tool, LoQuM (LOgistic regression tool for calibrating the Quality of short read mappings, to assign reliable mapping quality scores to mappings of Illumina reads returned by any alignment tool",1
Accurate estimation of short read mapping.txt,Results: We test the predictions of LoQuM on an independent dataset generated by the ART short read simulation software and observe that LoQuM can resurrect many mappings that are assigned zero quality scores by the alignment tools and are therefore likely to be discarded by researchers,1
Accurate extension of multiple sequence alignments.txt,"Availability: PAGAN is written in C++, licensed under the GPL and its source code is available at http://cran.r-project.org/web/packages/GMD/",1
Accurate identification of polyadenylation sites from.txt,"Therefore, there is a need to develop improved algorithms to better identify mis-priming events in oligo-dT primed sequences",1
Accurate prediction of bacterial type IV.txt,"Availability: A web server implementing the prediction method and the source code are both available at http://bioinfo.tmmu.edu.cn/T4EffPred.",1
Accurate prediction of RNA nucleotide interactions.txt,"Availability and Implementation: The source package for BkTree is available at http://rna-informatics.",1
Accurate prediction of RNA nucleotide interactions.txt,"We have been able to develop dynamic programming (DP) algorithms with On k1  time and space complexities, efficient for small k, to compute the optimal backbone k-tree spanning over the nucleotides on the query sequence, given a scoring function ()",1
Accurate selfcorrection of errors in long.txt,"Availability and Implementation: LoRMA is freely available at http://www.cs.helsinki.fi/u/Imsalmel/",1
Accurate viral population assembly from ultradeep.txt,"Availability: Our tool VGA is freely available at http://genetics.cs.ucla.edu/vga/",1
Accuratein silicoprediction of speciesspecific methylation sites.txt,"Recently, with increasing availability of quantitative methylation datasets in diverse species (especially in eukaryotes), there is a growing need to develop a species-specific predictor",1
Accuratein silicoprediction of speciesspecific methylation sites.txt,"Availability and Implementation: The tool online service is implemented by C# language and freely available at http://bioinfo.",1
Accuratein silicoprediction of speciesspecific methylation sites.txt,"(iv) Furthermore, some of these tools were only published as a method and did not provide a user-friendly web service or the web server does not work ()",1
ACE accurate correction of errors using.txt,Availability and implementation: ACE is licensed under the GPL license and can be freely obtained at https://github.com/sheikhizadeh/ACE/,1
ACE adaptive cluster expansion for maximum.txt,"Availability and implementation: The ACE source code, user manual and tutorials with the example data and filtered correlations described herein are freely available on GitHub at https://github.com/kkrizanovic/NanoMark.",1
aCGHSplinean R package for aCGH dye.txt,"The aCGH.Spline R package contains various functions for the reading and writing of standard microarray data formats, including the complex feature extraction data format from Agilent, the generation of QC statistics and the plotting of data",1
Aclustering a novel method for the.txt,Results: We develop the Adjacent Site Clustering (A-clustering) algorithm to detect sets of neighboring CpG sites that are correlated with each other,1
Aclustering a novel method for the.txt,"Availability: We provide the R package Aclust that efficiently implements the A-clustering and the analysis pipeline, and produces analysis reports",1
Aclustering a novel method for the.txt,"For instance,developed a software package to correct the P-values associated with a probe using the estimated correlation between the probe and neighboring probes.developed a software package, applying methods to combine adjacent correlated P-values and detect regions of low P-value",1
Aclustering a novel method for the.txt,The clustering method and the following GEE analysis are implemented in the R package Aclust,1
ACNE a summarization method to estimate.txt,This algorithm outperforms (or at least it performs as well as) other state-of-the-art algorithms for computing DNA CNs,1
ACNE a summarization method to estimate.txt,"Availability: The method is available in the open-source R package ACNE, which also includes an add on to the aroma.affymetrix framework (http://www.aroma-project.org/).",1
Acquire an opensource comprehensive cancer biobanking.txt,"Availability and Implementation: Acquire implements standard controlled vocabularies, ontolo-gies and objects from the NCI, CDISC and others",1
Acquire an opensource comprehensive cancer biobanking.txt,As such many commercial and some open-source software solutions exist to manage daily V C The Author 2015,1
aCSM noisefree graphbased signatures to largescale.txt,"Availability and implementation: Datasets and the source code are",1
ADaCGH2 parallelized analysis of big CNA.txt,"Results: We have developed a BioConductor package, ADaCGH2, that parallelizes the main segmentation algorithms (using forking on multicore computers or parallelization via message passing interface, etc., in clusters of computers) and uses ff objects for reading and data storage",1
ADaCGH2 parallelized analysis of big CNA.txt,Availability and implementation: ADaCGH2 is an R package available from BioConductor,1
ADaCGH2 parallelized analysis of big CNA.txt,"Version 2.3.11 or higher is available from the development branch",1
ADaCGH2 parallelized analysis of big CNA.txt,"INTRODUCTIONCurrent studies of genomic copy number alterations (CNA) are using platforms with several million probes per array and several thousand subjects (e.g.), but the canonical implementations of the widely used open-source packages for the analysis of CNA data did not allow for parallelized execution of the analysis",1
ADaCGH2 parallelized analysis of big CNA.txt,"Moreover, especially for R/BioConductor software, the available packages will not be able to analyze big datasets if these are larger than about a quarter to a half of the available memory (unless one uses time-consuming, and ad hoc, manual partition of the input and subsequent recombination of the outputsee discussion in Section 'Why ADaCGH2 instead of a ''manual'' solution' in the vignette of the package)",1
ADaCGH2 parallelized analysis of big CNA.txt,"I leverage on two R packages, parallel, part of the standard set of R packages, and ff (), and combine them, to provide the following: Parallelized analysis",1
ADaCGH2 parallelized analysis of big CNA.txt,"Input from, and output to, other BioConductor packages.Here I present the main functions of the package, the differences with former version and some benchmarks",1
ADaCGH2 parallelized analysis of big CNA.txt,"In POSIX operating systems (including Unix, GNU/Linux and Mac OS), forking can be faster, less memory consuming and much easier to use than a cluster",1
ADaCGH2 parallelized analysis of big CNA.txt,"These differences in implementation, however, do not affect the underlying core code for the algorithms, which is the same as in the previous version",1
ADaGOFun an adaptable Gene Ontology semantic.txt,It is a portable software package integrating all known GO information content-based semantic similarity measures and relevant biological applications associated with these measures,1
ADaGOFun an adaptable Gene Ontology semantic.txt,"Availability and implementation: A-DaGO-Fun is freely available to the research community at",1
ADaGOFun an adaptable Gene Ontology semantic.txt,Retrieving information from these different biological data constitutes an essential step and challenging task which requires the use of computational tools and algorithms for translating these data into different applications,1
ADaGOFun an adaptable Gene Ontology semantic.txt,The recent proliferation of these measures in the biomedical and bioinformatics areas was accompanied by the development of tools (http://neurolex.org/wiki/Category:Resource:Gene_Ontology_Tools) that facilitate effective exploration of these measures,1
ADaGOFun an adaptable Gene Ontology semantic.txt,These tools include software packages and web-based on-line tools,1
ADaGOFun an adaptable Gene Ontology semantic.txt,"None of these tools support all relevant topology-based approaches in the context of GO, except the DaGO-Fun on-line tool V C The Author 2015",1
ADaGOFun an adaptable Gene Ontology semantic.txt,"For Permissions, please e-mail: journals.permissions@oup.com () implementing the GO-universal metric, theapproaches, the G-SESAME on-line tool () and the GOSemSim R package () which implement theapproach",1
ADaGOFun an adaptable Gene Ontology semantic.txt,These tools are often context dependent and only implement SS measures shown to perform well in a specific application,1
ADaGOFun an adaptable Gene Ontology semantic.txt,"ConclusionA-DaGO-Fun provides a python portable application to the large community of GO users and to a broad computational audience, enabling tool designers or developers and experienced end-users as well as non-programmers to retrieve SS scores",1
ADAM automated data management for research.txt,Availability and implementation: ADAM is implemented using Java and supported on Linux,1
ADAM automated data management for research.txt,"Installation instructions, binary code, a demo system and virtual machine image and are available at http://www.imperial.ac.uk/bioinfsupport/resources/software/adam.",1
ADAM automated data management for research.txt,ADAM is a software tool designed to address these issues and has been developed in consultation with researchers involved in cross-discipline systems biology studies,1
ADAM automated data management for research.txt,This should enable better planning including targeted use of hardware resources and development of analysis software to satisfy demand,1
Adaption of the global test idea.txt,"Availability and implementation: Our proposed approach is included in the R-package RepeatedHighDim, which already contains a global test procedure for gene expression data",1
Adaptive gene and pathwaytrait association testing.txt,"The methods are implemented in R package aSPU, freely and publicly available",1
Adaptive gene and pathwaytrait association testing.txt,"Availability and implementation: https://cran.r-project.org/web/packages/aSPU/",1
Adaptive gene and pathwaytrait association testing.txt,"The proposed methods are available in R package aSPU, which is downloadable from CRAN.",1
Adaptive gene and pathwaytrait association testing.txt,We have developed an R package aSPU to facilitate their use.,1
Adaptive referencefree compression of sequence quality.txt,"Availability: Code to construct the BWT and LCP-array on large genomic data sets is part of the BEETL library, available as a github repository at",1
Adaptive referencefree compression of sequence quality.txt,"The tool QUIP () creates an onthe-fly de novo assembly to perform reference-based compression against, whereas SCALCE () places similar reads near to each other in a sorted file, facilitating good performance by standard tools such as gzip that operate on a buffer of text at a time",1
Adaptive settings for the nearestneighbor particle.txt,"One of the most cited and used nearest-neighbor algorithms was proposed by Crocker and Grier (CG) 1996), and has a simple code and free open source implementations in IDL, Matlab, Phyton and ImageJ ()",1
ADAPTNMR Enhancer complete package for reduced.txt,"The software package reported here, ADAPT-NMR Enhancer, supports the visualization of both 2D tilted planes and reconstructed 3D peaks on each tilted plane",1
ADAPTNMR Enhancer complete package for reduced.txt,"Availability: The program, in the form of binary code along with tutor-ials and reference manuals, is available at http://pine.",1
ADAPTNMR Enhancer complete package for reduced.txt,"The latest approach towards this goal from our laboratory is ADAPT-NMR (), a software package that interfaces with the NMR spectrometer and uses an algorithm for devising a pathway for optimal data collection to approach the goal of complete data assignment",1
ADAPTNMR Enhancer complete package for reduced.txt,"As a means for visualizing the spectral data, picked peaks and spin system assemblies underlying these assignments, we have developed the standalone software package described here, ADAPT-NMR Enhancer.experiment that PINE considered as possible assignments for the selected atom",1
Addressing false discoveries in network inference.txt,"Availability and implementation: Results, executable code and networks are available via our website",1
adegenet 131 new tools for the.txt,"While the R software is becoming a standard for the analysis of genetic data, classical population genetics tools are being challenged by the increasing availability of genomic sequences",1
adegenet 131 new tools for the.txt,We introduce new tools implemented in the adegenet 1.3-1 package for handling and analyzing genome-wide single nucleotide polymorphism (SNP) data,1
adegenet 131 new tools for the.txt,Availability: adegenet 1.3-1 is available from CRAN: http://cran.r-project.org/web/packages/adegenet/,1
adegenet 131 new tools for the.txt,"INTRODUCTIONThe free software R (R Development Core) is becoming a standard for the analysis of genetic data, offering a wealth of packages dedicated to population genetics (), phylogenetics () or genome-wide association studies ()",1
adegenet 131 new tools for the.txt,"However, the increasing availability of genomic sequence data has challenged both the tools and the ressources needed to carry such analyses",1
adegenet 131 new tools for the.txt,"While some specific packages have been developed for human association studies (), more general tools for the analysis of the genetic structure of biological populations are needed",1
adegenet 131 new tools for the.txt,"In this article, we introduce new tools implemented in the R package adegenet () which * To whom correspondence should be addressed",1
adegenet 131 new tools for the.txt,"By default, most procedures implemented for genlight objects achieve parallelization using the package multicore (currently available on linux and MacOSX systems), although this can be disabled by the user",1
adegenet 131 new tools for the.txt,"For instance, the new implementations of PCA (function glPca) and DAPC (dapc, see example) by default use compiled C code and parallelized computations, while never requiring more than two genomes to be represented as integers at a time",1
adephylo new tools for investigating the.txt,adephylo is a package for the R software dedicated to the analysis of comparative evolutionary data,1
adephylo new tools for investigating the.txt,"For this purpose, we developed the package adephylo that provides tools for quantifying and describing the phylogenetic structures of biological traits",1
adephylo new tools for investigating the.txt,Availability: The stable version is available from CRAN: http://cran.r-project.org/web/packages/adephylo/,1
adephylo new tools for investigating the.txt,"The development version is hosted by R-Forge: http://r-forge.r-project.org/projects/adephylo/.",1
adephylo new tools for investigating the.txt,The R package adephylo aims to complement existing PCMs by implementing tools for describing the phylogenetic signal and uncovering phylogenetic patterns from evolutionary comparative data.in large phylogenies (i.e,1
adephylo new tools for investigating the.txt,"This approach can be used together with other classical tests of phylogenetic signal such as Pagel's  () and Blomberg's K (), the latter being implemented in the R package picante ()",1
Adjusting scoring matrices to correct overextended.txt,"Availability: RefProtDom2 (RPD2) sequences and the FASTA software are available from http://faculty.virginia.edu/wrpearson/fasta.",1
Adjusting scoring matrices to correct overextended.txt,"The popular BLASTP () tool, along with other sequence alignment tools (e.g",1
ADMIT a toolbox for guaranteed model.txt,"Efficient implementations of such methods are available in software tools, [e.g.",1
Admixem a flexible framework for forwardtime.txt,"Availability and Implementation: C þþ and OpenMP, supports 64-bit Linux/Unix-like platforms",1
Admixem a flexible framework for forwardtime.txt,"The program is implemented in C  with an object-oriented structure, is easily compiled, self-contained, and includes an interactive interface for simulation setup and scripts to export data",1
Advanced Complex Trait Analysis.txt,Motivation: The Genome-wide Complex Trait Analysis (GCTA) software package can quantify the contribution of genetic variation to phenotypic variation for complex traits,1
Advanced Complex Trait Analysis.txt,"Availability and implementation: The source code is fully available under the GNU Public License, along with Linux binaries",1
Advanced Complex Trait Analysis.txt,Genome-Wide Complex Trait Analysis (GCTA) () is a freely available C+ + software package for quantifying the contribution of genetic variation to phenotypic variation for complex traits,1
Advanced Complex Trait Analysis.txt,"In this article, we present an adapted version of the code, Advanced Complex Trait Analysis (ACTA), which offers dramatic performance improvements",1
AdvISERPYRO Amplicon Identification using SparsE Representation.txt,"Accordingly, the objective was to develop the AdvISER-PYRO algorithm, performing an automated , fast and reliable analysis of pyrosequencing signals that circumvents those limitations",1
AdvISERPYRO Amplicon Identification using SparsE Representation.txt,"Availability: AdvISER-PYRO is implemented in an R package (http:// sites.uclouvain.be/md-ctma/index.php/softwares) and can be used in broad range of clinical applications including multiplex pyrosequen-cing and oncogene re-sequencing in heterogeneous tumor cell samples.",1
AdvISERPYRO Amplicon Identification using SparsE Representation.txt,"Accordingly, the objective of the present study was to develop a new algorithm for improving the analysis of pyrosequencing signals",1
AdvISERPYRO Amplicon Identification using SparsE Representation.txt,DISCUSSIONThe AdvISER-PYRO algorithm appears as an efficient tool that can reliably be used to identify amplicons in pyrosequencing signals generated by SAS or MAS,1
AffyPipe an opensource pipeline for Affymetrix.txt,The Affymetrix Axiom genotyping standard and best practice work-flow for Linux and Mac users consists of three stand-alone executable programs (Affymetrix Power Tools) and an R package (SNPolisher),1
AffyPipe an opensource pipeline for Affymetrix.txt,"Availability and implementation: https://github.com/nicolazzie/",1
AffyPipe an opensource pipeline for Affymetrix.txt,"Illumina has developed an integrated software, GenomeStudio V R , with a graphical user interface (GUI) for visualization of the genotyping data from the assay platform",1
AffyPipe an opensource pipeline for Affymetrix.txt,GenomeStudio V R only runs on the Windows operating system (OS),1
AffyPipe an opensource pipeline for Affymetrix.txt,"Affymetrix provides a GUI software, Genotyping Console TM , for Windows OS (http:// www.affymetrix.com/estore/browse/level_seven_software_products_only.jsp?productId=131535)",1
AffyPipe an opensource pipeline for Affymetrix.txt,"However, for Linux/Unix and Mac OS users, the Affymetrix genotyping workflow consists of a step-by-step procedure for which no GUI or automation is available",1
AffyPipe an opensource pipeline for Affymetrix.txt,"In both workflows, the first three steps use a set of stand-alone executable programs, which were originally written in C+ + (Affymetrix Power Tools; APTools), whereas the fourth step requires the use of the R programming language (http://www.Rproject.org/) and a specific R package (SNPolisher)",1
AffyPipe an opensource pipeline for Affymetrix.txt,"To carry out the analysis, executable programs, the SNPolisher R package and many input files for each of the steps have to be downloaded from the Affymetrix Web site, in addition to writing long command line instructions for each step",1
AffyPipe an opensource pipeline for Affymetrix.txt,"In the last phase, the SNPolisher R package is used to evaluate the quality of the signal and to classify each SNP probe into six classes: '",1
AffyPipe an opensource pipeline for Affymetrix.txt,"Although the use of the APTools does not require any C++ programming skills, just basic command line use, the use of SNPolisher requires at least a basic knowledge of R",1
AffyRNADegradation control and correction of RNA.txt,"This functionality, for which no previous software solution is available, is implemented in the R/Bioconductor package AffyRNADegradation presented here",1
AffyRNADegradation control and correction of RNA.txt,"Availability: The package is available via Bioconductor at the URL",1
AffyRNADegradation control and correction of RNA.txt,"Existing options are the use of 3 0 /5 0 intensity ratios of control probe sets included on the microarray, as well as 3 0 /5 0-summary degradation measures as provided by software tools such as the affy package ()",1
AffyRNADegradation control and correction of RNA.txt,"In this work, we present an R package that assesses RNA quality of Affymetrix expression data",1
AGE defining breakpoints of genomic structural.txt,We develop a memory-efficient implementation of AGE (allowing application to long contigs) and make it available as a downloadable software package,1
AGE defining breakpoints of genomic structural.txt,"Availability and Implementation: AGE is freely available at http://sv.gersteinlab.org/age.",1
AGE defining breakpoints of genomic structural.txt,"The most straightforward application of AGE is single-nucleotide SV breakpoint resolution and standardization, as has just been demonstrated by using the algorithm implemented in AGE software",1
Agosa universal web tool for GW.txt,"Commonly used bioinformatic tools fail to identify tryptophan–glycine and/or glycine–tryptophan motifs (WG/GW) domains and currently there is no publicly available software which can detect these weakly conserved, but functional AGO-binding segments",1
